accuracy,communication_rounds,dpMode,foldPrivacytest,foldTest,labelColumn,noiseScale,numClients,status,testnum,C,delta,epsilon,L,alpha,lambda_,max_iter,tolerance
0.7,5,noDP,30|59,0|29,target,None,1,finished,1_269532389,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7,5,noDP,30|59,0|29,target,None,1,finished,2_821595599,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7,5,noDP,30|59,0|29,target,None,1,finished,3_21348400,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7,5,noDP,30|59,0|29,target,None,1,finished,4_174859385,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7,5,noDP,30|59,0|29,target,None,1,finished,5_387464592,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7,5,noDP,30|59,0|29,target,None,1,finished,6_560212389,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7,5,noDP,30|59,0|29,target,None,1,finished,7_777818016,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7,5,noDP,30|59,0|29,target,None,1,finished,8_854033228,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7,5,noDP,30|59,0|29,target,None,1,finished,9_39677200,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7,5,noDP,30|59,0|29,target,None,1,finished,10_197358361,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6,5,noDP,30|59,0|29,target,None,2,finished,11_408922325,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6,5,noDP,30|59,0|29,target,None,2,finished,12_599251611,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6,5,noDP,30|59,0|29,target,None,2,finished,13_871677145,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6,5,noDP,30|59,0|29,target,None,2,finished,14_94175677,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6,5,noDP,30|59,0|29,target,None,2,finished,15_268462147,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6,5,noDP,30|59,0|29,target,None,2,finished,16_485688146,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6,5,noDP,30|59,0|29,target,None,2,finished,17_587495579,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6,5,noDP,30|59,0|29,target,None,2,finished,18_881507585,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6,5,noDP,30|59,0|29,target,None,2,finished,19_100683800,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6,5,noDP,30|59,0|29,target,None,2,finished,20_359757526,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.5714285714285714,5,noDP,30|59,0|29,target,None,4,finished,21_648277304,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.42857142857142855,5,noDP,30|59,0|29,target,None,4,finished,22_840491730,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.42857142857142855,5,noDP,30|59,0|29,target,None,4,finished,23_612460297,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.42857142857142855,5,noDP,30|59,0|29,target,None,4,finished,24_567205848,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.42857142857142855,5,noDP,30|59,0|29,target,None,4,finished,25_611222098,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.42857142857142855,5,noDP,30|59,0|29,target,None,4,finished,26_560285429,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.42857142857142855,5,noDP,30|59,0|29,target,None,4,finished,27_580924656,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.42857142857142855,5,noDP,30|59,0|29,target,None,4,finished,28_811411890,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.42857142857142855,5,noDP,30|59,0|29,target,None,4,finished,29_300886223,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.42857142857142855,5,noDP,30|59,0|29,target,None,4,finished,30_997756226,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.4,5,noDP,30|59,0|29,target,None,6,finished,31_409703196,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.4,5,noDP,30|59,0|29,target,None,6,finished,32_866583997,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.4,5,noDP,30|59,0|29,target,None,6,finished,33_417065456,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.4,5,noDP,30|59,0|29,target,None,6,finished,34_11581275,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.4,5,noDP,30|59,0|29,target,None,6,finished,35_561012672,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.4,5,noDP,30|59,0|29,target,None,6,finished,36_29872239,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.4,5,noDP,30|59,0|29,target,None,6,finished,37_818458129,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.4,5,noDP,30|59,0|29,target,None,6,finished,38_514508603,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.4,5,noDP,30|59,0|29,target,None,6,finished,39_50308939,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.4,5,noDP,30|59,0|29,target,None,6,finished,40_749254125,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,8,finished,41_119362383,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,8,finished,42_763943104,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,8,finished,43_285036140,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,8,finished,44_138590931,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,8,finished,45_879048479,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,8,finished,46_602457054,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,8,finished,47_87618352,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,8,finished,48_89423179,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,8,finished,49_252954295,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,8,finished,50_9322912,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,10,finished,51_935695737,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,10,finished,52_129686327,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,10,finished,53_967218328,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,10,finished,54_619134396,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,10,finished,55_264998605,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,10,finished,56_66706335,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,10,finished,57_72452625,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,10,finished,58_34753907,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,10,finished,59_56732349,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,30|59,0|29,target,None,10,finished,60_688881511,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,61_787836182,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,62_953560022,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
